date,destination,lat,lon,is_weekend,month,dow,temp_c,rain,marketing_spend,social_sentiment,price_index,bookings,avg_party_size,channel,lead_time_days,rooms_available,guides_available,vehicles_available
2025-02-15,Goa,15.2993,74.124,1,2,5,24.9,0,198.11,0.382,76.06,877,2,Agent,3,2000,250,800
2024-10-17,Varanasi,25.3176,82.9739,0,10,3,20.0,0,605.78,-0.056,55.59,358,2,Agent,46,1400,160,500
2025-08-11,Agra,27.1767,78.0081,0,8,0,32.7,0,157.17,-1.0,59.65,419,3,Kiosk,9,1300,150,550
2024-04-16,Goa,15.2993,74.124,0,4,1,34.8,0,666.22,0.203,73.21,816,2,App,29,2000,250,800
2025-07-30,Jaipur,26.9124,75.7873,0,7,2,35.5,0,282.28,0.353,59.98,503,2,Agent,2,1500,180,600
2025-02-22,Jaipur,26.9124,75.7873,1,2,5,20.7,0,772.22,-0.686,55.91,650,1,App,29,1500,180,600
2025-01-29,Agra,27.1767,78.0081,0,1,2,18.6,0,378.44,0.241,58.38,281,3,App,6,1300,150,550
2024-05-26,Agra,27.1767,78.0081,1,5,6,36.6,0,740.06,-1.0,63.4,763,3,App,11,1300,150,550
2025-04-29,Agra,27.1767,78.0081,0,4,1,33.2,0,280.1,-0.162,59.43,538,3,App,2,1300,150,550
2024-09-28,Varanasi,25.3176,82.9739,1,9,5,28.6,0,232.54,-0.319,43.99,423,3,Agent,61,1400,160,500
2025-02-15,Leh,34.1526,77.5771,1,2,5,5.1,0,160.67,0.138,98.39,287,2,App,9,600,90,220
2024-06-07,Varanasi,25.3176,82.9739,0,6,4,38.3,0,330.0,0.626,60.94,259,2,Kiosk,10,1400,160,500
2024-06-29,Varanasi,25.3176,82.9739,1,6,5,38.8,0,349.45,-0.602,43.49,587,2,App,4,1400,160,500
2025-08-05,Kerala,10.8505,76.2711,0,8,1,34.7,0,90.08,-0.069,59.62,894,1,Kiosk,11,1700,220,700
2024-12-31,Jaipur,26.9124,75.7873,0,12,1,17.0,0,731.57,-0.009,57.12,451,2,Web,4,1500,180,600
2025-01-06,Varanasi,25.3176,82.9739,0,1,0,17.2,0,88.95,1.0,52.0,527,2,Web,5,1400,160,500
2024-06-03,Jaipur,26.9124,75.7873,0,6,0,38.0,0,415.59,-0.064,64.61,885,2,App,26,1500,180,600
2025-01-25,Agra,27.1767,78.0081,1,1,5,18.6,0,919.24,0.192,50.67,576,2,Agent,6,1300,150,550
2024-09-12,Kerala,10.8505,76.2711,0,9,3,30.3,0,92.67,0.151,74.12,607,2,Agent,27,1700,220,700
2024-09-01,Agra,27.1767,78.0081,1,9,6,29.3,0,393.39,-0.063,63.94,647,2,Agent,12,1300,150,550
2024-12-25,Kerala,10.8505,76.2711,0,12,2,19.8,0,562.16,0.264,72.02,535,1,Agent,22,1700,220,700
2024-05-09,Jaipur,26.9124,75.7873,0,5,3,36.3,0,798.74,0.106,56.72,948,2,Web,5,1500,180,600
2025-07-09,Agra,27.1767,78.0081,0,7,2,36.0,0,486.63,-0.234,47.34,494,3,Kiosk,7,1300,150,550
2024-07-05,Goa,15.2993,74.124,0,7,4,39.5,0,972.79,0.18,69.76,768,1,Web,20,2000,250,800
2024-12-23,Leh,34.1526,77.5771,0,12,0,0.6,1,823.48,0.697,87.63,551,2,App,23,600,90,220
2025-06-21,Varanasi,25.3176,82.9739,1,6,5,36.8,0,228.36,-0.035,49.08,689,2,Kiosk,10,1400,160,500
2025-03-10,Leh,34.1526,77.5771,0,3,0,8.0,0,114.79,0.936,92.08,501,3,Agent,7,600,90,220
2024-11-01,Agra,27.1767,78.0081,0,11,4,17.4,0,2103.14,-0.547,67.17,495,3,App,9,1300,150,550
2025-06-14,Kerala,10.8505,76.2711,1,6,5,39.6,0,84.95,0.581,63.82,579,2,Agent,2,1700,220,700
2025-04-10,Kerala,10.8505,76.2711,0,4,3,35.8,0,221.93,-0.857,70.61,641,3,Agent,5,1700,220,700
2025-05-28,Jaipur,26.9124,75.7873,0,5,2,37.2,0,493.11,-0.641,63.64,793,1,Agent,12,1500,180,600
2024-02-21,Manali,32.2432,77.1892,0,2,2,8.5,0,328.51,0.796,70.2,649,2,Agent,23,1200,140,450
2024-10-31,Jaipur,26.9124,75.7873,0,10,3,21.2,0,231.24,-0.279,66.29,325,3,Agent,26,1500,180,600
2024-02-26,Manali,32.2432,77.1892,0,2,0,10.5,0,409.59,-0.051,80.87,440,2,Web,20,1200,140,450
2024-12-08,Varanasi,25.3176,82.9739,1,12,6,16.8,0,488.47,-0.363,55.09,541,3,Agent,6,1400,160,500
2025-05-30,Agra,27.1767,78.0081,0,5,4,34.2,0,402.19,-0.484,54.55,717,2,App,9,1300,150,550
2024-03-08,Jaipur,26.9124,75.7873,0,3,4,28.5,0,198.75,1.0,52.56,672,2,Web,24,1500,180,600
2024-05-19,Manali,32.2432,77.1892,1,5,6,22.4,0,736.5,0.692,84.26,399,2,App,15,1200,140,450
2025-04-18,Manali,32.2432,77.1892,0,4,4,19.9,0,399.4,-0.207,78.38,548,3,Agent,17,1200,140,450
2025-09-07,Manali,32.2432,77.1892,1,9,6,16.0,1,260.05,-0.707,71.53,211,2,App,4,1200,140,450
2025-05-04,Varanasi,25.3176,82.9739,1,5,6,36.8,1,393.75,0.587,45.17,319,1,App,11,1400,160,500
2024-12-20,Varanasi,25.3176,82.9739,0,12,4,16.6,0,118.75,-0.447,49.33,364,1,Web,8,1400,160,500
2024-01-04,Kerala,10.8505,76.2711,0,1,3,19.8,0,247.39,-1.0,66.01,579,2,Kiosk,31,1700,220,700
2024-09-16,Leh,34.1526,77.5771,0,9,0,10.4,1,921.46,-0.048,91.24,149,2,Kiosk,25,600,90,220
2024-08-10,Goa,15.2993,74.124,1,8,5,36.6,0,232.77,-0.05,69.67,888,2,Agent,3,2000,250,800
2024-09-19,Leh,34.1526,77.5771,0,9,3,10.1,0,49.87,0.212,91.04,0,2,Agent,12,600,90,220
2024-09-22,Agra,27.1767,78.0081,1,9,6,25.9,0,929.37,0.601,64.64,768,2,Web,1,1300,150,550
2024-03-28,Kerala,10.8505,76.2711,0,3,3,27.5,0,261.71,-0.552,53.21,483,3,App,6,1700,220,700
2024-01-15,Leh,34.1526,77.5771,0,1,0,1.4,0,511.7,0.38,96.01,481,2,Agent,9,600,90,220
2025-04-12,Jaipur,26.9124,75.7873,1,4,5,31.4,0,459.79,0.729,67.16,844,1,App,15,1500,180,600
2024-07-17,Varanasi,25.3176,82.9739,0,7,2,35.5,0,83.4,-0.791,51.09,498,3,Kiosk,9,1400,160,500
2024-05-20,Varanasi,25.3176,82.9739,0,5,0,35.8,0,201.23,0.384,38.78,175,3,Kiosk,28,1400,160,500
2025-03-14,Varanasi,25.3176,82.9739,0,3,4,25.9,0,500.14,0.065,59.89,387,2,Agent,2,1400,160,500
2025-06-23,Manali,32.2432,77.1892,0,6,0,25.4,0,379.22,0.316,82.48,663,1,Kiosk,20,1200,140,450
2025-02-05,Varanasi,25.3176,82.9739,0,2,2,19.5,0,641.5,0.366,44.81,550,2,Web,4,1400,160,500
2025-09-20,Kerala,10.8505,76.2711,1,9,5,30.3,0,577.57,0.869,62.32,829,1,Kiosk,11,1700,220,700
2024-04-09,Goa,15.2993,74.124,0,4,1,35.0,0,278.26,0.408,69.51,443,2,Kiosk,7,2000,250,800
2024-07-12,Agra,27.1767,78.0081,0,7,4,36.6,0,296.38,-0.584,55.46,643,3,Agent,6,1300,150,550
2025-05-08,Kerala,10.8505,76.2711,0,5,3,38.1,0,501.91,0.079,68.55,767,3,Kiosk,18,1700,220,700
2024-01-17,Varanasi,25.3176,82.9739,0,1,2,18.1,0,736.01,0.504,48.7,626,1,App,4,1400,160,500
2024-12-26,Andaman,11.7401,92.6586,0,12,3,18.5,0,651.6,-0.148,87.16,569,2,App,7,900,120,300
2024-04-19,Andaman,11.7401,92.6586,0,4,4,34.3,0,535.91,0.121,84.02,379,4,Agent,5,900,120,300
2024-03-27,Goa,15.2993,74.124,0,3,2,32.1,0,808.28,0.565,83.15,551,3,Kiosk,11,2000,250,800
2024-02-16,Goa,15.2993,74.124,0,2,4,26.1,0,197.35,1.0,81.06,883,3,Kiosk,5,2000,250,800
2024-09-28,Andaman,11.7401,92.6586,1,9,5,27.2,0,976.83,-0.475,82.66,443,1,App,6,900,120,300
2024-11-11,Leh,34.1526,77.5771,0,11,0,0.6,0,544.65,0.512,87.54,294,3,Agent,12,600,90,220
2024-10-23,Manali,32.2432,77.1892,0,10,2,9.2,0,414.15,0.596,67.58,443,1,Kiosk,4,1200,140,450
2025-02-13,Andaman,11.7401,92.6586,0,2,3,23.0,0,203.32,0.95,92.22,326,2,Kiosk,7,900,120,300
2024-10-28,Varanasi,25.3176,82.9739,0,10,0,23.1,0,826.45,1.0,44.96,808,3,Web,18,1400,160,500
2025-03-09,Leh,34.1526,77.5771,1,3,6,9.8,0,132.32,-0.102,87.44,218,2,Agent,22,600,90,220
2025-02-23,Varanasi,25.3176,82.9739,1,2,6,23.2,0,214.84,-0.72,46.14,511,3,App,9,1400,160,500
2025-01-20,Kerala,10.8505,76.2711,0,1,0,19.9,0,211.53,0.207,75.06,478,3,App,12,1700,220,700
2025-05-01,Goa,15.2993,74.124,0,5,3,37.5,0,249.06,0.475,88.52,460,2,Kiosk,1,2000,250,800
2024-03-01,Leh,34.1526,77.5771,0,3,4,8.8,0,335.74,0.819,99.32,357,3,Web,34,600,90,220
2024-11-17,Leh,34.1526,77.5771,1,11,6,3.9,0,96.78,-0.307,90.66,338,2,App,10,600,90,220
2024-11-19,Leh,34.1526,77.5771,0,11,1,2.2,0,646.8,-0.272,85.19,252,2,Web,11,600,90,220
2024-03-29,Varanasi,25.3176,82.9739,0,3,4,26.4,0,802.48,0.559,45.14,682,1,Agent,4,1400,160,500
2024-05-21,Manali,32.2432,77.1892,0,5,1,23.2,0,255.54,-0.268,76.11,542,2,App,5,1200,140,450
2025-02-16,Leh,34.1526,77.5771,1,2,6,5.2,0,1181.44,-0.144,92.21,216,2,Agent,8,600,90,220
2024-12-30,Goa,15.2993,74.124,0,12,0,18.2,0,267.87,0.474,74.69,693,2,Agent,1,2000,250,800
2024-11-15,Agra,27.1767,78.0081,0,11,4,19.5,0,1178.84,0.559,65.27,809,4,Web,5,1300,150,550
2024-12-06,Jaipur,26.9124,75.7873,0,12,4,19.1,0,287.57,-0.261,64.1,525,2,Agent,13,1500,180,600
2025-09-23,Andaman,11.7401,92.6586,0,9,1,26.6,0,269.28,0.709,86.37,590,2,Web,4,900,120,300
2025-05-11,Agra,27.1767,78.0081,1,5,6,37.0,0,418.7,0.762,58.51,581,3,Agent,2,1300,150,550
2025-04-25,Agra,27.1767,78.0081,0,4,4,32.7,0,261.33,0.791,36.01,554,2,App,14,1300,150,550
2025-01-12,Goa,15.2993,74.124,1,1,6,20.8,0,63.22,0.818,75.0,902,3,Kiosk,15,2000,250,800
2025-02-28,Kerala,10.8505,76.2711,0,2,4,22.2,0,346.59,0.42,76.09,725,2,Web,7,1700,220,700
2025-04-17,Goa,15.2993,74.124,0,4,3,36.5,0,365.84,1.0,84.58,429,2,Agent,11,2000,250,800
2024-02-28,Kerala,10.8505,76.2711,0,2,2,24.2,0,335.07,0.979,72.74,710,3,Web,18,1700,220,700
2025-05-08,Andaman,11.7401,92.6586,0,5,3,36.8,0,437.64,0.392,75.04,110,3,Kiosk,39,900,120,300
2024-03-18,Leh,34.1526,77.5771,0,3,0,8.9,0,251.97,-0.098,89.35,97,2,Web,15,600,90,220
2024-01-09,Andaman,11.7401,92.6586,0,1,1,21.2,0,522.83,-0.36,103.45,406,4,App,8,900,120,300
2024-07-25,Jaipur,26.9124,75.7873,0,7,3,35.0,0,667.3,0.016,53.65,567,3,Kiosk,6,1500,180,600
2025-01-25,Andaman,11.7401,92.6586,1,1,5,19.7,0,816.1,0.295,86.53,388,2,Web,4,900,120,300
2024-03-06,Jaipur,26.9124,75.7873,0,3,2,28.0,0,401.16,0.637,56.95,565,2,Kiosk,12,1500,180,600
2024-08-10,Agra,27.1767,78.0081,1,8,5,34.2,0,417.42,0.26,48.09,721,3,Kiosk,4,1300,150,550
2024-07-17,Jaipur,26.9124,75.7873,0,7,2,36.7,0,972.36,-0.394,56.77,697,3,App,9,1500,180,600
2025-07-06,Agra,27.1767,78.0081,1,7,6,34.7,0,287.46,0.546,55.95,409,2,Kiosk,20,1300,150,550
2024-03-17,Varanasi,25.3176,82.9739,1,3,6,27.3,0,398.24,0.188,50.67,515,3,Web,4,1400,160,500
2025-04-05,Leh,34.1526,77.5771,1,4,5,16.1,0,383.56,-0.131,111.57,758,2,Web,30,600,90,220
2025-05-05,Manali,32.2432,77.1892,0,5,0,23.7,0,428.65,0.473,67.92,155,2,Web,3,1200,140,450
2025-09-27,Manali,32.2432,77.1892,1,9,5,15.6,0,269.94,-0.228,77.42,459,3,App,11,1200,140,450
2025-05-12,Manali,32.2432,77.1892,0,5,0,24.2,0,264.4,0.13,70.22,684,3,Web,3,1200,140,450
2024-05-15,Jaipur,26.9124,75.7873,0,5,2,36.6,0,329.2,-0.35,52.05,595,2,Kiosk,2,1500,180,600
2025-03-04,Goa,15.2993,74.124,0,3,1,30.0,1,322.87,-0.048,87.98,454,2,App,8,2000,250,800
2024-09-14,Agra,27.1767,78.0081,1,9,5,26.5,0,327.24,-0.589,49.27,442,2,Agent,8,1300,150,550
2024-07-25,Goa,15.2993,74.124,0,7,3,39.4,0,198.59,0.421,80.58,538,2,App,8,2000,250,800
2025-03-16,Manali,32.2432,77.1892,1,3,6,16.5,0,233.6,0.014,66.93,153,1,Kiosk,17,1200,140,450
2025-04-16,Andaman,11.7401,92.6586,0,4,2,33.0,0,116.89,0.297,103.75,625,1,Web,7,900,120,300
2025-07-29,Andaman,11.7401,92.6586,0,7,1,36.9,0,516.07,-0.439,90.47,603,2,App,4,900,120,300
2025-04-26,Andaman,11.7401,92.6586,1,4,5,35.2,0,270.0,0.878,93.07,223,2,Agent,8,900,120,300
2025-05-30,Manali,32.2432,77.1892,0,5,4,24.0,0,198.13,0.243,66.14,622,1,App,14,1200,140,450
2024-01-18,Varanasi,25.3176,82.9739,0,1,3,17.5,0,199.91,0.291,54.11,530,2,Web,6,1400,160,500
2024-03-29,Leh,34.1526,77.5771,0,3,4,8.6,0,72.93,-0.814,101.45,272,3,Web,6,600,90,220
2024-08-03,Agra,27.1767,78.0081,1,8,5,32.5,0,441.68,0.262,52.05,781,1,Web,15,1300,150,550
2024-07-16,Agra,27.1767,78.0081,0,7,1,37.2,1,86.55,0.418,49.96,400,3,Kiosk,19,1300,150,550
2025-09-01,Manali,32.2432,77.1892,0,9,0,14.8,0,332.51,0.438,80.85,317,2,Kiosk,2,1200,140,450
2025-07-16,Jaipur,26.9124,75.7873,0,7,2,35.4,0,390.92,-0.233,57.17,646,2,Kiosk,24,1500,180,600
2024-12-23,Goa,15.2993,74.124,0,12,0,17.9,0,210.48,0.444,82.22,862,2,Agent,4,2000,250,800
2024-05-10,Kerala,10.8505,76.2711,0,5,4,38.3,0,402.55,0.37,67.08,308,2,Kiosk,4,1700,220,700
2025-07-11,Jaipur,26.9124,75.7873,0,7,4,36.3,0,650.92,0.424,59.09,389,2,Web,17,1500,180,600
2025-06-14,Jaipur,26.9124,75.7873,1,6,5,36.4,0,251.21,0.543,68.54,493,2,Kiosk,2,1500,180,600
2025-04-20,Varanasi,25.3176,82.9739,1,4,6,31.7,0,499.55,0.123,61.22,1013,2,App,13,1400,160,500
2025-05-18,Leh,34.1526,77.5771,1,5,6,19.0,0,452.75,0.503,84.65,177,2,Agent,9,600,90,220
2024-03-14,Andaman,11.7401,92.6586,0,3,3,26.7,0,456.16,-0.932,88.61,297,2,Agent,8,900,120,300
2025-07-28,Manali,32.2432,77.1892,0,7,0,24.5,0,488.79,0.095,61.43,460,2,Kiosk,7,1200,140,450
2025-02-14,Goa,15.2993,74.124,0,2,4,26.8,0,422.45,0.402,76.44,1125,3,App,12,2000,250,800
2024-04-02,Jaipur,26.9124,75.7873,0,4,1,34.0,0,51.98,-0.343,62.07,554,2,Agent,11,1500,180,600
2025-04-04,Jaipur,26.9124,75.7873,0,4,4,34.2,0,65.86,-1.0,69.56,738,2,Web,29,1500,180,600
2025-07-11,Agra,27.1767,78.0081,0,7,4,35.9,0,532.52,0.277,57.67,788,1,Web,7,1300,150,550
2025-09-26,Agra,27.1767,78.0081,0,9,4,26.6,0,1269.77,-0.533,40.11,310,2,Web,8,1300,150,550
2025-03-18,Leh,34.1526,77.5771,0,3,1,10.0,0,484.06,0.135,101.02,343,2,Web,32,600,90,220
2024-07-06,Goa,15.2993,74.124,1,7,5,40.4,0,332.04,-0.103,72.12,748,1,Web,34,2000,250,800
2025-02-11,Jaipur,26.9124,75.7873,0,2,1,23.7,0,99.73,0.147,57.24,307,2,Agent,2,1500,180,600
2024-10-08,Goa,15.2993,74.124,0,10,1,24.7,0,679.65,-0.186,73.3,565,4,App,20,2000,250,800
2025-03-17,Kerala,10.8505,76.2711,0,3,0,28.2,0,507.48,-0.784,74.18,645,3,Web,13,1700,220,700
2025-09-14,Leh,34.1526,77.5771,1,9,6,12.1,1,266.19,0.359,88.87,62,4,Kiosk,10,600,90,220
2025-05-22,Manali,32.2432,77.1892,0,5,3,23.7,0,618.82,0.317,76.3,669,2,Kiosk,4,1200,140,450
2024-09-16,Goa,15.2993,74.124,0,9,0,29.1,0,472.62,1.0,87.03,927,3,App,11,2000,250,800
2025-09-03,Kerala,10.8505,76.2711,0,9,2,29.5,0,734.1,-0.41,69.15,656,1,App,9,1700,220,700
2024-12-07,Leh,34.1526,77.5771,1,12,5,-1.3,0,151.99,0.145,90.34,302,2,App,22,600,90,220
2025-05-17,Kerala,10.8505,76.2711,1,5,5,38.0,0,701.3,0.316,72.92,696,2,App,8,1700,220,700
2025-03-08,Varanasi,25.3176,82.9739,1,3,5,27.6,0,144.46,0.244,54.34,390,1,Kiosk,4,1400,160,500
2024-11-08,Manali,32.2432,77.1892,0,11,4,4.9,0,191.39,0.192,73.16,407,1,Web,12,1200,140,450
2025-09-04,Manali,32.2432,77.1892,0,9,3,13.4,0,1050.42,1.0,61.23,380,4,Kiosk,2,1200,140,450
2024-11-21,Varanasi,25.3176,82.9739,0,11,3,16.6,0,758.26,-0.153,43.77,292,2,Web,5,1400,160,500
2024-04-22,Jaipur,26.9124,75.7873,0,4,0,32.8,0,191.5,0.119,60.89,854,3,App,14,1500,180,600
2024-11-08,Andaman,11.7401,92.6586,0,11,4,18.3,0,360.24,-0.583,91.06,296,3,Agent,12,900,120,300
2025-07-26,Agra,27.1767,78.0081,1,7,5,34.2,0,94.05,-0.095,52.12,684,3,Agent,17,1300,150,550
2024-07-13,Manali,32.2432,77.1892,1,7,5,23.9,0,196.86,-0.124,75.0,748,3,App,17,1200,140,450
2024-03-10,Goa,15.2993,74.124,1,3,6,30.5,0,229.58,0.349,81.8,776,1,App,7,2000,250,800
2025-09-28,Jaipur,26.9124,75.7873,1,9,6,27.4,1,260.01,0.2,68.51,427,3,Web,5,1500,180,600
2025-01-28,Andaman,11.7401,92.6586,0,1,1,20.0,0,726.83,0.077,86.34,541,2,Web,2,900,120,300
2024-07-26,Kerala,10.8505,76.2711,0,7,4,36.9,0,407.15,-0.416,63.01,915,2,App,5,1700,220,700
2024-09-08,Andaman,11.7401,92.6586,1,9,6,29.9,0,439.8,1.0,88.79,723,3,Kiosk,5,900,120,300
2025-06-24,Varanasi,25.3176,82.9739,0,6,1,38.2,0,398.92,0.347,46.08,457,2,Agent,9,1400,160,500
2024-11-18,Kerala,10.8505,76.2711,0,11,0,19.3,0,164.07,0.377,69.33,563,1,Kiosk,13,1700,220,700
2024-01-11,Goa,15.2993,74.124,0,1,3,20.9,0,341.98,0.668,70.47,937,1,Agent,18,2000,250,800
2024-10-17,Varanasi,25.3176,82.9739,0,10,3,23.2,0,529.53,0.505,50.58,443,2,Agent,2,1400,160,500
2024-10-20,Goa,15.2993,74.124,1,10,6,26.7,0,629.54,-0.602,71.24,659,2,Agent,16,2000,250,800
2024-11-01,Goa,15.2993,74.124,0,11,4,22.1,0,278.65,-0.283,72.39,411,3,Agent,20,2000,250,800
2025-02-05,Jaipur,26.9124,75.7873,0,2,2,23.1,0,165.16,-0.713,65.99,305,3,Kiosk,15,1500,180,600
2024-07-05,Kerala,10.8505,76.2711,0,7,4,36.3,0,380.82,-0.811,55.77,575,2,Agent,2,1700,220,700
2024-07-13,Leh,34.1526,77.5771,1,7,5,18.7,0,116.01,0.732,80.29,329,1,App,15,600,90,220
2024-10-28,Manali,32.2432,77.1892,0,10,0,9.2,0,921.71,0.566,71.33,867,1,Kiosk,10,1200,140,450
2024-01-11,Jaipur,26.9124,75.7873,0,1,3,17.6,0,301.26,0.44,64.13,828,2,Web,1,1500,180,600
2024-05-16,Manali,32.2432,77.1892,0,5,3,20.8,1,645.81,0.412,75.9,531,3,Agent,52,1200,140,450
2024-10-08,Agra,27.1767,78.0081,0,10,1,24.2,0,1063.73,-0.734,45.06,207,2,Kiosk,2,1300,150,550
2024-12-21,Andaman,11.7401,92.6586,1,12,5,17.1,0,235.78,-0.22,91.54,336,2,Web,18,900,120,300
2025-08-02,Agra,27.1767,78.0081,1,8,5,30.9,0,415.36,0.407,44.91,487,2,App,19,1300,150,550
2025-09-19,Andaman,11.7401,92.6586,0,9,4,31.4,1,556.07,0.296,86.06,785,3,App,11,900,120,300
2024-11-17,Kerala,10.8505,76.2711,1,11,6,20.1,0,390.54,1.0,68.21,1109,1,Web,5,1700,220,700
2025-06-03,Varanasi,25.3176,82.9739,0,6,1,36.1,0,458.89,0.062,60.58,1016,2,Web,11,1400,160,500
2025-03-30,Jaipur,26.9124,75.7873,1,3,6,28.6,0,94.9,-0.288,58.19,365,4,Web,9,1500,180,600
2024-08-13,Jaipur,26.9124,75.7873,0,8,1,34.6,0,447.12,1.0,59.72,314,2,Agent,19,1500,180,600
2024-08-08,Jaipur,26.9124,75.7873,0,8,3,34.7,1,217.68,-0.723,63.8,735,1,App,42,1500,180,600
2025-02-26,Varanasi,25.3176,82.9739,0,2,2,21.5,0,614.84,0.31,46.17,319,2,App,4,1400,160,500
2024-05-17,Andaman,11.7401,92.6586,0,5,4,36.4,0,646.12,-0.015,98.46,358,1,Agent,4,900,120,300
